,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Qto_BeamBaseQuantities.NetSurfaceArea,Pset_RailingCommon.IsExternal,Pset_BuildingElementProxyCommon.Reference,Pset_StairFlightCommon.Reference,Pset_StairCommon.RiserHeight,Qto_BeamBaseQuantities.Length,Pset_ColumnCommon.LoadBearing,Qto_ColumnBaseQuantities.OuterSurfaceArea,Qto_ColumnBaseQuantities.GrossVolume,Pset_EnvironmentalImpactIndicators.Reference,Pset_SlabCommon.ThermalTransmittance,Pset_WallCommon.ExtendToStructure,Pset_BuildingElementProxyCommon.IsExternal,Qto_DoorBaseQuantities.Height,Qto_MemberBaseQuantities.NetVolume,Qto_DoorBaseQuantities.Width,Qto_DoorBaseQuantities.Area,Pset_StairCommon.NosingLength,Qto_WallBaseQuantities.Height,Qto_SlabBaseQuantities.NetArea,Qto_BeamBaseQuantities.OuterSurfaceArea,Qto_BeamBaseQuantities.CrossSectionArea,Pset_BeamCommon.Span,Pset_WallCommon.IsExternal,Pset_WallCommon.ThermalTransmittance,Pset_WallCommon.LoadBearing,Pset_DoorCommon.Reference,Pset_OpeningElementCommon.Reference,Qto_StairFlightBaseQuantities.NetVolume,Pset_StairFlightCommon.NumberOfTreads,Pset_SlabCommon.Reference,Qto_WallBaseQuantities.NetSideArea,Pset_RailingCommon.Reference,Pset_BeamCommon.Slope,Qto_WindowBaseQuantities.Area,Qto_MemberBaseQuantities.NetSurfaceArea,Pset_DoorCommon.IsExternal,Qto_StairFlightBaseQuantities.GrossVolume,Pset_StairCommon.Reference,Qto_MemberBaseQuantities.GrossVolume,Pset_SlabCommon.IsExternal,Pset_StairCommon.TreadLengthAtInnerSide,Pset_MemberCommon.Reference,Qto_WallBaseQuantities.GrossFootprintArea,Qto_SlabBaseQuantities.Perimeter,Qto_ColumnBaseQuantities.CrossSectionArea,Pset_StairFlightCommon.TreadLengthAtInnerSide,Pset_BeamCommon.Reference,Pset_ColumnCommon.Reference,Pset_WindowCommon.Reference,Pset_SlabCommon.PitchAngle,Qto_WindowBaseQuantities.Width,Pset_StairFlightCommon.NosingLength,Pset_StairCommon.TreadLength,Qto_MemberBaseQuantities.OuterSurfaceArea,Qto_SlabBaseQuantities.NetVolume,Qto_MemberBaseQuantities.GrossSurfaceArea,Pset_StairFlightCommon.NumberOfRiser,Qto_MemberBaseQuantities.Length,Pset_BeamCommon.Roll,Pset_MemberCommon.Slope,Pset_StairCommon.NumberOfRiser,Qto_StairFlightBaseQuantities.Length,Qto_WindowBaseQuantities.Height,Pset_MemberCommon.IsExternal,Pset_StairFlightCommon.TreadLengthAtOffset,Qto_BeamBaseQuantities.GrossSurfaceArea,Pset_ReinforcementBarPitchOfColumn.Reference,Pset_StairCommon.WalkingLineOffset,Pset_StairCommon.NumberOfTreads,Pset_ReinforcementBarPitchOfSlab.Reference,Qto_BeamBaseQuantities.NetVolume,Pset_StairFlightCommon.TreadLength,Pset_ManufacturerTypeInformation.Manufacturer,Qto_ColumnBaseQuantities.Length,Pset_ColumnCommon.IsExternal,Pset_SlabCommon.LoadBearing,Qto_MemberBaseQuantities.CrossSectionArea,Pset_ReinforcementBarPitchOfBeam.Reference,Qto_RailingBaseQuantities.Length,Pset_StairFlightCommon.WalkingLineOffset,Pset_StairCommon.TreadLengthAtOffset,Pset_StairCommon.IsExternal,Qto_SlabBaseQuantities.GrossVolume,Pset_ColumnCommon.Slope,Qto_BeamBaseQuantities.GrossVolume,Pset_StairFlightCommon.RiserHeight,Qto_WallBaseQuantities.Length,Pset_ReinforcementBarPitchOfWall.Reference,Qto_WallBaseQuantities.Width,Pset_WindowCommon.ThermalTransmittance,Pset_BeamCommon.IsExternal,Qto_SlabBaseQuantities.Width,Pset_WallCommon.Reference,Pset_WindowCommon.FireRating,Qto_WallBaseQuantities.NetVolume,Qto_SlabBaseQuantities.GrossArea,Pset_BeamCommon.LoadBearing,Pset_WindowCommon.IsExternal,Pset_RailingCommon.Height
120,20124,1K9fMEc5bCUxo4LliWYA9W,IfcWall,SOLIDWALL,BLK01.085,Roof Lower,Basic Wall:250XTERNAL,,,,,,,,,,250XTERNAL,,True,,,,,,,110.0,,,,,True,,False,,,,,,0.955590872965265,,,,,,,,,,,,0.308750000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.00000000001,250XTERNAL,250.0,,,,250XTERNAL,,0.0339624999999999,,,,
121,20224,1K9fMEc5bCUxo4LlWWYA9X,IfcWall,SOLIDWALL,BLK01.068,Level 1 - Upper,Basic Wall:250XTERNAL,,,,,,,,,,250XTERNAL,,True,,,,,,,3500.0,,,,,True,,False,,,,,,19.3937656701686,,,,,,,,,,,,0.632973214968985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656.89285987594,250XTERNAL,250.0,,,,250XTERNAL,,1.75828114139344,,,,
122,20297,1K9fMEc5bCUxo4LliWYA9X,IfcWall,SOLIDWALL,BLK01.086,Roof Lower,Basic Wall:250XTERNAL,,,,,,,,,,250XTERNAL,,True,,,,,,,110.0,,,,,True,,False,,,,,,1.88935373207593,,,,,,,,,,,,0.632973214968985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656.89285987594,250XTERNAL,250.0,,,,250XTERNAL,,0.0696270536465881,,,,
123,20378,1K9fMEc5bCUxo4LlWWYA9_,IfcWall,NOTDEFINED,Basic Wall:100 Internal:314736,Level 1 - Upper,Basic Wall:100 Internal,,,,,,,,,,100 Internal,,True,,,,,,,3500.0,,,,,True,,False,,,,,,24.825904,,,,,,,,,,,,0.463176000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3676.0,100 Internal,126.0,,,,100 Internal,,1.41622639199999,,,,
124,20479,1K9fMEc5bCUxo4LliWYA9_,IfcWall,NOTDEFINED,Basic Wall:100 Internal:314736,Roof Lower,Basic Wall:100 Internal,,,,,,,,,,100 Internal,,True,,,,,,,110.0,,,,,True,,False,,,,,,1.762792,,,,,,,,,,,,0.463176000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3676.0,100 Internal,126.0,,,,100 Internal,,0.0509493600000008,,,,
125,20560,1K9fMEc5bCUxo4LlWWYA9$,IfcWall,NOTDEFINED,Basic Wall:100 Internal:314737,Level 1 - Upper,Basic Wall:100 Internal,,,,,,,,,,100 Internal,,True,,,,,,,3500.0,,,,,True,,False,,,,,,25.480784,,,,,,,,,,,,0.427391999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452.0,100 Internal,126.0,,,,100 Internal,,1.49587199999999,,,,
126,20630,1K9fMEc5bCUxo4LliWYA9$,IfcWall,NOTDEFINED,Basic Wall:100 Internal:314737,Roof Lower,Basic Wall:100 Internal,,,,,,,,,,100 Internal,,True,,,,,,,110.0,,,,,True,,False,,,,,,1.657064,,,,,,,,,,,,0.427391999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452.0,100 Internal,126.0,,,,100 Internal,,0.04784472,,,,
127,20713,1K9fMEc5bCUxo4LlWWYA9z,IfcWall,SOLIDWALL,BLK01.069,Level 1 - Upper,Basic Wall:250XTERNAL,,,,,,,,,,250XTERNAL,,True,,,,,,,3500.0,,,,,True,,False,,,,,,11.4625,,,,,,,,,,,,0.323749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.0,250XTERNAL,250.0,,,,250XTERNAL,,1.133125,,,,
128,20879,1K9fMEc5bCUxo4LlWWYA9w,IfcWall,SOLIDWALL,BLK01.070,Level 1 - Upper,Basic Wall:250XTERNAL,,,,,,,,,,250XTERNAL,,True,,,,,,,3500.0,,,,,True,,False,,,,,,22.0065276892054,,,,,,,,,,,,0.66313636073763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777.54544295052,250XTERNAL,250.0,,,,250XTERNAL,,2.32097726258171,,,,
129,21060,1K9fMEc5bCUxo4LlWWYA9x,IfcWall,SOLIDWALL,BLK01.071,Level 1 - Upper,Basic Wall:250XTERNAL,,,,,,,,,,250XTERNAL,,True,,,,,,,3500.0,,,,,True,,False,,,,,,19.3939774443651,,,,,,,,,,,,0.73412468590962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061.49874363848,250XTERNAL,250.0,,,,250XTERNAL,,1.75041140068367,,,,
